demography_id	target_allele_frequency	selection_coefficient	statistic_scope	metric	statistic	threshold_years	alpha	n_selected	n_detected	conditional_power	wilson_ci95_low	wilson_ci95_high	n_detected_raw	conditional_power_raw	raw_wilson_ci95_low	raw_wilson_ci95_high	n_detected_bh_within_7	conditional_power_bh_within_7	bh_within_7_wilson_ci95_low	bh_within_7_wilson_ci95_high	bh_family_size	bh_family_definition	conditioning	neutral_bank_scope
ancient_eurasia_han_introgression	0.2	0.005	region_mean	p_tmrca_lt_threshold	p_hom_alt	10000	0.05	10	1	0.1	0.0178762130951	0.404150026795	1	0.1	0.0178762130951	0.404150026795	1	0.1	0.0178762130951	0.404150026795	7	thresholds within unit, selection coefficient, scope, metric, statistic	conditional_on_accepted_final_af_and_genotype_qc	shared_by_demography_and_af_across_selection_coefficients
ancient_eurasia_han_introgression	0.2	0.005	region_mean	p_tmrca_lt_threshold	p_hom_alt	20000	0.05	10	1	0.1	0.0178762130951	0.404150026795	1	0.1	0.0178762130951	0.404150026795	1	0.1	0.0178762130951	0.404150026795	7	thresholds within unit, selection coefficient, scope, metric, statistic	conditional_on_accepted_final_af_and_genotype_qc	shared_by_demography_and_af_across_selection_coefficients
ancient_eurasia_han_introgression	0.2	0.005	region_mean	p_tmrca_lt_threshold	p_hom_alt	30000	0.05	10	1	0.1	0.0178762130951	0.404150026795	1	0.1	0.0178762130951	0.404150026795	1	0.1	0.0178762130951	0.404150026795	7	thresholds within unit, selection coefficient, scope, metric, statistic	conditional_on_accepted_final_af_and_genotype_qc	shared_by_demography_and_af_across_selection_coefficients
ancient_eurasia_han_introgression	0.2	0.005	region_mean	p_tmrca_lt_threshold	p_hom_alt	40000	0.05	10	1	0.1	0.0178762130951	0.404150026795	1	0.1	0.0178762130951	0.404150026795	1	0.1	0.0178762130951	0.404150026795	7	thresholds within unit, selection coefficient, scope, metric, statistic	conditional_on_accepted_final_af_and_genotype_qc	shared_by_demography_and_af_across_selection_coefficients
ancient_eurasia_han_introgression	0.2	0.005	region_mean	p_tmrca_lt_threshold	p_hom_alt	50000	0.05	10	1	0.1	0.0178762130951	0.404150026795	1	0.1	0.0178762130951	0.404150026795	1	0.1	0.0178762130951	0.404150026795	7	thresholds within unit, selection coefficient, scope, metric, statistic	conditional_on_accepted_final_af_and_genotype_qc	shared_by_demography_and_af_across_selection_coefficients
ancient_eurasia_han_introgression	0.2	0.005	region_mean	p_tmrca_lt_threshold	p_hom_alt_minus_hom_ref	1000	0.05	10	1	0.1	0.0178762130951	0.404150026795	1	0.1	0.0178762130951	0.404150026795	1	0.1	0.0178762130951	0.404150026795	7	thresholds within unit, selection coefficient, scope, metric, statistic	conditional_on_accepted_final_af_and_genotype_qc	shared_by_demography_and_af_across_selection_coefficients
ancient_eurasia_han_introgression	0.2	0.005	region_mean	p_tmrca_lt_threshold	p_hom_alt_minus_hom_ref	4500	0.05	10	1	0.1	0.0178762130951	0.404150026795	1	0.1	0.0178762130951	0.404150026795	1	0.1	0.0178762130951	0.404150026795	7	thresholds within unit, selection coefficient, scope, metric, statistic	conditional_on_accepted_final_af_and_genotype_qc	shared_by_demography_and_af_across_selection_coefficients
ancient_eurasia_han_introgression	0.2	0.005	region_mean	p_tmrca_lt_threshold	p_hom_alt_minus_hom_ref	10000	0.05	10	1	0.1	0.0178762130951	0.404150026795	1	0.1	0.0178762130951	0.404150026795	1	0.1	0.0178762130951	0.404150026795	7	thresholds within unit, selection coefficient, scope, metric, statistic	conditional_on_accepted_final_af_and_genotype_qc	shared_by_demography_and_af_across_selection_coefficients
ancient_eurasia_han_introgression	0.2	0.005	region_mean	p_tmrca_lt_threshold	p_hom_alt_minus_hom_ref	20000	0.05	10	1	0.1	0.0178762130951	0.404150026795	1	0.1	0.0178762130951	0.404150026795	1	0.1	0.0178762130951	0.404150026795	7	thresholds within unit, selection coefficient, scope, metric, statistic	conditional_on_accepted_final_af_and_genotype_qc	shared_by_demography_and_af_across_selection_coefficients
ancient_eurasia_han_introgression	0.2	0.005	region_mean	p_tmrca_lt_threshold	p_hom_alt_minus_hom_ref	30000	0.05	10	1	0.1	0.0178762130951	0.404150026795	1	0.1	0.0178762130951	0.404150026795	1	0.1	0.0178762130951	0.404150026795	7	thresholds within unit, selection coefficient, scope, metric, statistic	conditional_on_accepted_final_af_and_genotype_qc	shared_by_demography_and_af_across_selection_coefficients
ancient_eurasia_han_introgression	0.2	0.005	region_mean	p_tmrca_lt_threshold	p_hom_alt_minus_hom_ref	40000	0.05	10	1	0.1	0.0178762130951	0.404150026795	1	0.1	0.0178762130951	0.404150026795	1	0.1	0.0178762130951	0.404150026795	7	thresholds within unit, selection coefficient, scope, metric, statistic	conditional_on_accepted_final_af_and_genotype_qc	shared_by_demography_and_af_across_selection_coefficients
ancient_eurasia_han_introgression	0.2	0.005	region_mean	p_tmrca_lt_threshold	p_hom_alt_minus_hom_ref	50000	0.05	10	1	0.1	0.0178762130951	0.404150026795	1	0.1	0.0178762130951	0.404150026795	1	0.1	0.0178762130951	0.404150026795	7	thresholds within unit, selection coefficient, scope, metric, statistic	conditional_on_accepted_final_af_and_genotype_qc	shared_by_demography_and_af_across_selection_coefficients
ancient_eurasia_han_introgression	0.2	0.005	region_mean	p_tmrca_lt_threshold	p_hom_ref	1000	0.05	10	0	0	0	0.277532799863	0	0	0	0.277532799863	0	0	0	0.277532799863	7	thresholds within unit, selection coefficient, scope, metric, statistic	conditional_on_accepted_final_af_and_genotype_qc	shared_by_demography_and_af_across_selection_coefficients
ancient_eurasia_han_introgression	0.2	0.005	region_mean	p_tmrca_lt_threshold	p_hom_ref	4500	0.05	10	0	0	0	0.277532799863	0	0	0	0.277532799863	0	0	0	0.277532799863	7	thresholds within unit, selection coefficient, scope, metric, statistic	conditional_on_accepted_final_af_and_genotype_qc	shared_by_demography_and_af_across_selection_coefficients
ancient_eurasia_han_introgression	0.2	0.005	region_mean	p_tmrca_lt_threshold	p_hom_ref	10000	0.05	10	0	0	0	0.277532799863	0	0	0	0.277532799863	0	0	0	0.277532799863	7	thresholds within unit, selection coefficient, scope, metric, statistic	conditional_on_accepted_final_af_and_genotype_qc	shared_by_demography_and_af_across_selection_coefficients
ancient_eurasia_han_introgression	0.2	0.005	region_mean	p_tmrca_lt_threshold	p_hom_ref	20000	0.05	10	0	0	0	0.277532799863	0	0	0	0.277532799863	0	0	0	0.277532799863	7	thresholds within unit, selection coefficient, scope, metric, statistic	conditional_on_accepted_final_af_and_genotype_qc	shared_by_demography_and_af_across_selection_coefficients
ancient_eurasia_han_introgression	0.2	0.005	region_mean	p_tmrca_lt_threshold	p_hom_ref	30000	0.05	10	0	0	0	0.277532799863	0	0	0	0.277532799863	0	0	0	0.277532799863	7	thresholds within unit, selection coefficient, scope, metric, statistic	conditional_on_accepted_final_af_and_genotype_qc	shared_by_demography_and_af_across_selection_coefficients
ancient_eurasia_han_introgression	0.2	0.005	region_mean	p_tmrca_lt_threshold	p_hom_ref	40000	0.05	10	0	0	0	0.277532799863	0	0	0	0.277532799863	0	0	0	0.277532799863	7	thresholds within unit, selection coefficient, scope, metric, statistic	conditional_on_accepted_final_af_and_genotype_qc	shared_by_demography_and_af_across_selection_coefficients
ancient_eurasia_han_introgression	0.2	0.005	region_mean	p_tmrca_lt_threshold	p_hom_ref	50000	0.05	10	0	0	0	0.277532799863	0	0	0	0.277532799863	0	0	0	0.277532799863	7	thresholds within unit, selection coefficient, scope, metric, statistic	conditional_on_accepted_final_af_and_genotype_qc	shared_by_demography_and_af_across_selection_coefficients
ancient_eurasia_han_introgression	0.2	0.005	region_mean	p_tmrca_lt_threshold	p_overall	1000	0.05	10	0	0	0	0.277532799863	0	0	0	0.277532799863	0	0	0	0.277532799863	7	thresholds within unit, selection coefficient, scope, metric, statistic	conditional_on_accepted_final_af_and_genotype_qc	shared_by_demography_and_af_across_selection_coefficients
ancient_eurasia_han_introgression	0.2	0.005	region_mean	p_tmrca_lt_threshold	p_overall	4500	0.05	10	0	0	0	0.277532799863	0	0	0	0.277532799863	0	0	0	0.277532799863	7	thresholds within unit, selection coefficient, scope, metric, statistic	conditional_on_accepted_final_af_and_genotype_qc	shared_by_demography_and_af_across_selection_coefficients
ancient_eurasia_han_introgression	0.2	0.005	region_mean	p_tmrca_lt_threshold	p_overall	10000	0.05	10	0	0	0	0.277532799863	0	0	0	0.277532799863	0	0	0	0.277532799863	7	thresholds within unit, selection coefficient, scope, metric, statistic	conditional_on_accepted_final_af_and_genotype_qc	shared_by_demography_and_af_across_selection_coefficients
ancient_eurasia_han_introgression	0.2	0.005	region_mean	p_tmrca_lt_threshold	p_overall	20000	0.05	10	0	0	0	0.277532799863	0	0	0	0.277532799863	0	0	0	0.277532799863	7	thresholds within unit, selection coefficient, scope, metric, statistic	conditional_on_accepted_final_af_and_genotype_qc	shared_by_demography_and_af_across_selection_coefficients
ancient_eurasia_han_introgression	0.2	0.005	region_mean	p_tmrca_lt_threshold	p_overall	30000	0.05	10	0	0	0	0.277532799863	0	0	0	0.277532799863	0	0	0	0.277532799863	7	thresholds within unit, selection coefficient, scope, metric, statistic	conditional_on_accepted_final_af_and_genotype_qc	shared_by_demography_and_af_across_selection_coefficients
ancient_eurasia_han_introgression	0.2	0.005	region_mean	p_tmrca_lt_threshold	p_overall	40000	0.05	10	0	0	0	0.277532799863	0	0	0	0.277532799863	0	0	0	0.277532799863	7	thresholds within unit, selection coefficient, scope, metric, statistic	conditional_on_accepted_final_af_and_genotype_qc	shared_by_demography_and_af_across_selection_coefficients
ancient_eurasia_han_introgression	0.2	0.005	region_mean	p_tmrca_lt_threshold	p_overall	50000	0.05	10	0	0	0	0.277532799863	0	0	0	0.277532799863	0	0	0	0.277532799863	7	thresholds within unit, selection coefficient, scope, metric, statistic	conditional_on_accepted_final_af_and_genotype_qc	shared_by_demography_and_af_across_selection_coefficients
ancient_eurasia_han_introgression	0.2	0.01	focal_nearest	mean_tmrca_generations	tmrca_hom_ref_minus_hom_alt	0	0.05	10	0	0	0	0.277532799863	0	0	0	0.277532799863	0	0	0	0.277532799863	1	thresholds within unit, selection coefficient, scope, metric, statistic	conditional_on_accepted_final_af_and_genotype_qc	shared_by_demography_and_af_across_selection_coefficients
ancient_eurasia_han_introgression	0.2	0.01	focal_nearest	normalized_cdf_area	cdf_area_heterozygous	0	0.05	10	0	0	0	0.277532799863	0	0	0	0.277532799863	0	0	0	0.277532799863	1	thresholds within unit, selection coefficient, scope, metric, statistic	conditional_on_accepted_final_af_and_genotype_qc	shared_by_demography_and_af_across_selection_coefficients
ancient_eurasia_han_introgression	0.2	0.01	focal_nearest	normalized_cdf_area	cdf_area_hom_alt	0	0.05	10	1	0.1	0.0178762130951	0.404150026795	1	0.1	0.0178762130951	0.404150026795	1	0.1	0.0178762130951	0.404150026795	1	thresholds within unit, selection coefficient, scope, metric, statistic	conditional_on_accepted_final_af_and_genotype_qc	shared_by_demography_and_af_across_selection_coefficients
ancient_eurasia_han_introgression	0.2	0.01	focal_nearest	normalized_cdf_area	cdf_area_hom_alt_minus_hom_ref	0	0.05	10	1	0.1	0.0178762130951	0.404150026795	1	0.1	0.0178762130951	0.404150026795	1	0.1	0.0178762130951	0.404150026795	1	thresholds within unit, selection coefficient, scope, metric, statistic	conditional_on_accepted_final_af_and_genotype_qc	shared_by_demography_and_af_across_selection_coefficients
ancient_eurasia_han_introgression	0.2	0.01	focal_nearest	normalized_cdf_area	cdf_area_hom_ref	0	0.05	10	1	0.1	0.0178762130951	0.404150026795	1	0.1	0.0178762130951	0.404150026795	1	0.1	0.0178762130951	0.404150026795	1	thresholds within unit, selection coefficient, scope, metric, statistic	conditional_on_accepted_final_af_and_genotype_qc	shared_by_demography_and_af_across_selection_coefficients
ancient_eurasia_han_introgression	0.2	0.01	focal_nearest	normalized_cdf_area	cdf_area_overall	0	0.05	10	1	0.1	0.0178762130951	0.404150026795	1	0.1	0.0178762130951	0.404150026795	1	0.1	0.0178762130951	0.404150026795	1	thresholds within unit, selection coefficient, scope, metric, statistic	conditional_on_accepted_final_af_and_genotype_qc	shared_by_demography_and_af_across_selection_coefficients
ancient_eurasia_han_introgression	0.2	0.01	focal_nearest	p_tmrca_lt_threshold	p_heterozygous	1000	0.05	10	0	0	0	0.277532799863	0	0	0	0.277532799863	0	0	0	0.277532799863	7	thresholds within unit, selection coefficient, scope, metric, statistic	conditional_on_accepted_final_af_and_genotype_qc	shared_by_demography_and_af_across_selection_coefficients
ancient_eurasia_han_introgression	0.2	0.01	focal_nearest	p_tmrca_lt_threshold	p_heterozygous	4500	0.05	10	0	0	0	0.277532799863	0	0	0	0.277532799863	0	0	0	0.277532799863	7	thresholds within unit, selection coefficient, scope, metric, statistic	conditional_on_accepted_final_af_and_genotype_qc	shared_by_demography_and_af_across_selection_coefficients
ancient_eurasia_han_introgression	0.2	0.01	focal_nearest	p_tmrca_lt_threshold	p_heterozygous	10000	0.05	10	0	0	0	0.277532799863	0	0	0	0.277532799863	0	0	0	0.277532799863	7	thresholds within unit, selection coefficient, scope, metric, statistic	conditional_on_accepted_final_af_and_genotype_qc	shared_by_demography_and_af_across_selection_coefficients
ancient_eurasia_han_introgression	0.2	0.01	focal_nearest	p_tmrca_lt_threshold	p_heterozygous	20000	0.05	10	0	0	0	0.277532799863	0	0	0	0.277532799863	0	0	0	0.277532799863	7	thresholds within unit, selection coefficient, scope, metric, statistic	conditional_on_accepted_final_af_and_genotype_qc	shared_by_demography_and_af_across_selection_coefficients
ancient_eurasia_han_introgression	0.2	0.01	focal_nearest	p_tmrca_lt_threshold	p_heterozygous	30000	0.05	10	0	0	0	0.277532799863	0	0	0	0.277532799863	0	0	0	0.277532799863	7	thresholds within unit, selection coefficient, scope, metric, statistic	conditional_on_accepted_final_af_and_genotype_qc	shared_by_demography_and_af_across_selection_coefficients
ancient_eurasia_han_introgression	0.2	0.01	focal_nearest	p_tmrca_lt_threshold	p_heterozygous	40000	0.05	10	0	0	0	0.277532799863	0	0	0	0.277532799863	0	0	0	0.277532799863	7	thresholds within unit, selection coefficient, scope, metric, statistic	conditional_on_accepted_final_af_and_genotype_qc	shared_by_demography_and_af_across_selection_coefficients
ancient_eurasia_han_introgression	0.2	0.01	focal_nearest	p_tmrca_lt_threshold	p_heterozygous	50000	0.05	10	0	0	0	0.277532799863	0	0	0	0.277532799863	0	0	0	0.277532799863	7	thresholds within unit, selection coefficient, scope, metric, statistic	conditional_on_accepted_final_af_and_genotype_qc	shared_by_demography_and_af_across_selection_coefficients
ancient_eurasia_han_introgression	0.2	0.01	focal_nearest	p_tmrca_lt_threshold	p_hom_alt	1000	0.05	10	2	0.2	0.0566821514544	0.509837528463	2	0.2	0.0566821514544	0.509837528463	1	0.1	0.0178762130951	0.404150026795	7	thresholds within unit, selection coefficient, scope, metric, statistic	conditional_on_accepted_final_af_and_genotype_qc	shared_by_demography_and_af_across_selection_coefficients
ancient_eurasia_han_introgression	0.2	0.01	focal_nearest	p_tmrca_lt_threshold	p_hom_alt	4500	0.05	10	2	0.2	0.0566821514544	0.509837528463	2	0.2	0.0566821514544	0.509837528463	1	0.1	0.0178762130951	0.404150026795	7	thresholds within unit, selection coefficient, scope, metric, statistic	conditional_on_accepted_final_af_and_genotype_qc	shared_by_demography_and_af_across_selection_coefficients
ancient_eurasia_han_introgression	0.2	0.01	focal_nearest	p_tmrca_lt_threshold	p_hom_alt	10000	0.05	10	1	0.1	0.0178762130951	0.404150026795	1	0.1	0.0178762130951	0.404150026795	0	0	0	0.277532799863	7	thresholds within unit, selection coefficient, scope, metric, statistic	conditional_on_accepted_final_af_and_genotype_qc	shared_by_demography_and_af_across_selection_coefficients
ancient_eurasia_han_introgression	0.2	0.01	focal_nearest	p_tmrca_lt_threshold	p_hom_alt	20000	0.05	10	1	0.1	0.0178762130951	0.404150026795	1	0.1	0.0178762130951	0.404150026795	0	0	0	0.277532799863	7	thresholds within unit, selection coefficient, scope, metric, statistic	conditional_on_accepted_final_af_and_genotype_qc	shared_by_demography_and_af_across_selection_coefficients
ancient_eurasia_han_introgression	0.2	0.01	focal_nearest	p_tmrca_lt_threshold	p_hom_alt	30000	0.05	10	0	0	0	0.277532799863	0	0	0	0.277532799863	0	0	0	0.277532799863	7	thresholds within unit, selection coefficient, scope, metric, statistic	conditional_on_accepted_final_af_and_genotype_qc	shared_by_demography_and_af_across_selection_coefficients
ancient_eurasia_han_introgression	0.2	0.01	focal_nearest	p_tmrca_lt_threshold	p_hom_alt	40000	0.05	10	0	0	0	0.277532799863	0	0	0	0.277532799863	0	0	0	0.277532799863	7	thresholds within unit, selection coefficient, scope, metric, statistic	conditional_on_accepted_final_af_and_genotype_qc	shared_by_demography_and_af_across_selection_coefficients
ancient_eurasia_han_introgression	0.2	0.01	focal_nearest	p_tmrca_lt_threshold	p_hom_alt	50000	0.05	10	0	0	0	0.277532799863	0	0	0	0.277532799863	0	0	0	0.277532799863	7	thresholds within unit, selection coefficient, scope, metric, statistic	conditional_on_accepted_final_af_and_genotype_qc	shared_by_demography_and_af_across_selection_coefficients
ancient_eurasia_han_introgression	0.2	0.01	focal_nearest	p_tmrca_lt_threshold	p_hom_alt_minus_hom_ref	1000	0.05	10	2	0.2	0.0566821514544	0.509837528463	2	0.2	0.0566821514544	0.509837528463	1	0.1	0.0178762130951	0.404150026795	7	thresholds within unit, selection coefficient, scope, metric, statistic	conditional_on_accepted_final_af_and_genotype_qc	shared_by_demography_and_af_across_selection_coefficients
